"","GSM2233086","GSM2233087","GSM2233088","GSM2233089","GSM2233090","GSM2233091","GSM2233092","GSM2233093","GSM2233094","GSM2233095","GSM2233096","GSM2233097","GSM2233098","GSM2233099","GSM2233100","GSM2233101","GSM2233102","GSM2233103","GSM2233104","GSM2233105","GSM2233106","GSM2233107","GSM2233108","GSM2233109","GSM2233110","GSM2233111","GSM2233112","GSM2233113"
"1553117_a_at",20.4,94.7,117.3,42.2,132.9,45,55.2,63.2,51.7,45.3,28.9,27,49.7,73.7,144.1,80.7,51.3,49.1,67.1,55.2,196.8,55.2,24.2,32.9,60.9,15.5,48.1,41.7
"1552658_a_at",15.7,35.2,40.1,13.6,12.2,4.5,32.3,11.3,226.2,29.7,4.9,16.6,1.1,20.8,37.1,15.3,8.9,1.1,19.9,6.9,14.8,12.3,27.2,13.7,20.4,12.4,9.7,19.8
"1552931_a_at",13.6,122.4,106.8,67.8,77.2,60.9,111.8,55.1,66.1,58.1,49.9,48,76.5,47.9,199.8,120.7,45.9,68.1,58.8,83.6,130.7,123.6,22.9,34.8,26.5,41.6,50.8,79.7
"1553603_s_at",19.6,74.5,108.6,38.8,183.5,72.8,39,78,134.9,51.5,39.8,30,86.5,50,127.1,81.7,44.1,47.5,61.2,72.9,124.6,82.3,21.4,28.2,45.2,18.1,47,29.3
"1552486_s_at",18.5,104.1,77.3,55.1,108.4,46.8,46.2,89,66.3,52.8,35.3,30.6,86.3,41.8,133.5,120.8,26.4,47.8,83,64.1,178.2,85,19.1,9.6,24.4,33.7,36.7,54.6
"1553413_at",1.2,1.6,1.4,1.4,76.6,8.7,2.1,1,0.8,1.3,91.2,0.7,1.2,1.6,9.8,2.3,13,2.5,1.3,2.4,183.4,12.5,0.6,2.2,2.1,2.1,5.8,0.9
"1552626_a_at",2.1,34.8,30.2,15.4,31.6,8,212.1,11,6.3,8.8,6,16.3,1.9,15.1,35.7,29.7,17.1,29.4,59.1,8.1,25.1,16,2.2,24.9,5.2,8.1,16.5,7.7
"1552616_a_at",1.1,62.9,59.7,58.1,112.9,53.7,20.3,63.3,6.2,51.9,25.9,44.5,15.6,21.7,31.2,61.3,17.9,58.5,13.2,128.8,63.4,167.3,20.4,18.2,64.9,45.1,23.4,36.6
"1053_at",11.4,70.3,148.7,36.1,116.7,44,43.5,62.5,147.7,32.1,34.4,14.9,103.6,26.4,76.1,61.6,33.9,29,45.9,38.6,109.3,49.9,34.1,22.1,47.6,22.5,46,35
"1552295_a_at",5,43,55.1,28.2,80,35.2,54.1,42.2,73.2,34.6,96.4,39.5,119.5,80.5,167.6,93.3,46.5,48,60.2,42.5,143.8,52.8,49.4,37.5,31.4,15.9,36,33.4
"1552378_s_at",20.8,28.5,41.2,26.4,67.1,49.7,68.4,43.6,81.4,37.1,29.8,17.2,48.4,16.7,34.2,49.9,122.7,26.8,39.2,55.6,194.6,66.2,37,22.4,21.4,20.7,18.8,53.5
"1552310_at",9.5,73.9,82.1,43.5,64.4,37.6,111.5,40.9,88.6,36.5,77.2,28.3,173.7,31.2,121.9,80.9,47.2,43.1,54.3,43.9,102.6,73.6,35.6,19.8,19.5,13.5,68.8,47.1
"1552347_at",19.5,95.8,115.3,57.8,46.9,80.1,132.1,78.2,76.4,43.1,56.8,52.2,97.7,58.3,191.1,112.3,56.1,68.7,110.1,57.1,90.4,63.3,21.7,53.1,52.9,26.8,52.6,45.9
"1553167_a_at",9.9,85.7,88.9,72.4,87.8,44.6,16.3,53.2,172.2,67.5,5.3,33.4,17.1,12.8,54.7,40.8,31.8,38.6,39.9,67.2,52.8,93.8,25.5,20.3,39.5,17.6,25,32.6
"1552735_at",15.4,15.8,16,12.4,18.5,16.7,16.5,19.6,186.3,12.7,11.5,15.6,13.9,18.7,6.2,23.3,23.5,5,20.7,17.3,92.3,19.5,14.6,41.8,26.8,2.8,33.7,12.5
"1553113_s_at",13.8,35.9,75.1,36.8,72.8,30.2,88.9,33.5,159.9,15.9,41,12.6,70.5,9.5,109.4,54.4,33.5,22,30,28,56.9,43.7,16.7,6.1,6.1,11,28.5,28.1
"1552531_a_at",10,23.4,1,1.4,25.9,14.8,9.7,5,7.6,12,0.8,8.2,5.7,3.6,160.1,108.8,0.8,21.7,1.6,0.6,11.9,10.8,10.1,1.9,1.2,4.8,37.2,10.8
"1552651_a_at",8.6,44.1,32.7,26,79.6,27.9,8,35.6,52.9,18.9,18.5,22.8,73.9,36,144.4,96.2,17.3,47.7,52.6,47.2,126,55.8,10.5,14.4,19.7,19.7,57.7,33.2
"1553062_at",10.6,72.1,39.5,95.3,80.1,89.6,12.2,42.3,14.7,36.6,7.7,51.7,8.3,33.1,11.2,39.5,4.2,83.9,24.1,86.6,10.5,123.4,2,40.5,18.4,24.3,10.9,29.2
"1552613_s_at",1,79.9,112.1,29.1,41.3,34.5,106.5,14.3,133,59.4,23.2,25.1,65.3,29.5,66,37,27.2,23.5,78.8,24.8,70.5,29.1,8.7,26.3,25.8,11.6,32.1,17.5
"1553099_at",13.5,36.3,18.5,28.7,45.9,11.8,78,37.5,170.6,11.1,56.2,5,59.7,22.4,61.3,40.7,26.3,26,25.5,14.6,86.1,17,36.5,13.4,21.8,17.6,50.9,30.8
"1552277_a_at",13.6,69.2,102.1,42.1,89.2,60.2,77.4,69.3,118.1,52.5,65.8,49.6,115,88.4,96,63.3,52.9,41.5,113.1,66.9,174.7,80.3,64.9,36.5,56,32.1,105,63.5
"1552478_a_at",12.6,26.8,54,12.8,55,18.5,14.5,29.3,7,14.8,1.9,9,14.8,14.5,156.1,69.2,51.9,22.4,62.8,27.6,14.9,72,0.7,5.8,11.9,10.1,1.3,18.4
"1552575_a_at",8.4,34.2,17.9,32.6,5.9,13.1,11.2,2.3,5.4,18.6,1.8,14.6,17.8,18.4,4.7,33.1,2.7,33.7,176.8,23.9,18,30.5,17.2,16.7,22.6,8.5,2.8,21
"121_at",38.3,102.6,105.5,61.2,122.6,75.2,81.9,68.2,104.6,56.6,79.9,56.1,135.1,61.5,166.1,127.1,65.6,63.3,99.8,50.8,91.7,67.9,50.5,42.6,41.6,47,79.6,57.8
"1552440_at",4,120.3,60.5,91,34,55.5,12.8,99.8,10.3,51.4,14.8,31,12.1,33.8,37.2,48.9,18.8,42,22.5,36.3,11.8,98.5,1.5,18.2,12.3,29.1,8,24.6
