"GeneID","MeanExpression","Variance"
"1552520_at",21.0035714285714,689.179616402116
"1552521_a_at",15.2678571428571,623.252632275132
"1552522_at",7.06785714285714,21.2052248677249
"1552523_a_at",9.38214285714286,31.9400396825397
"1552524_at",6.82857142857143,33.4710052910053
"1552526_at",2.84285714285714,6.05365079365079
"1552528_at",7.48928571428571,38.3306216931217
"1552531_a_at",18.2642857142857,1202.47867724868
"1552532_a_at",4.63214285714286,22.8704100529101
"1552535_at",7.60714285714286,43.3147619047619
"1552536_at",32.6928571428571,360.746613756614
"1552538_a_at",4.62142857142857,24.1335978835979
"1552540_s_at",10.6178571428571,39.0807804232804
"1552541_at",23.275,164.345648148148
"1552542_s_at",9.925,74.6619444444444
"1552543_a_at",6.68571428571429,28.2731216931217
"1552544_at",14.1178571428571,31.5474470899471
"1552546_a_at",7.44642857142857,21.3736904761905
"1552548_at",5.37142857142857,11.297671957672
"1552549_a_at",6.98571428571429,46.3405291005291
"1552552_s_at",5.82142857142857,23.3232275132275
"1552553_a_at",18.0678571428571,113.024484126984
"1552554_a_at",6.42857142857143,28.0243386243386
"1552555_at",13.7107142857143,97.6624735449736
"1552557_a_at",8.31071428571429,12.2054365079365
"1552558_a_at",44.2857142857143,329.963492063492
"1552559_a_at",5.15714285714286,34.5462433862434
"1552562_at",13.4071428571429,98.4147619047619
"1552563_a_at",10.3857142857143,65.6960846560847
"1552564_at",7.45357142857143,30.7833201058201
"1552566_at",8.98571428571429,110.204973544974
"1552568_at",101.835714285714,8447.17645502645
"1552569_a_at",152.428571428571,20599.0495238095
"1552570_at",6.55357142857143,32.635171957672
"1552572_a_at",5.89642857142857,21.5529497354497
"1552573_s_at",8.88928571428571,76.0402513227513
"1552575_a_at",21.9428571428571,1025.06328042328
"1552576_at",12.8107142857143,72.9543253968254
"1552578_a_at",5.525,29.6508333333333
"1552579_a_at",10.9214285714286,34.3735978835979
"1552580_at",2.35714285714286,4.76994708994709
"1552582_at",6.69642857142857,26.1981349206349
"1552583_s_at",6.86785714285714,28.9644841269841
"1552584_at",16.275,106.973796296296
"1552585_s_at",5.66428571428571,19.4083068783069
"1552586_at",18.4107142857143,68.6691402116402
"1552587_at",7.43571428571429,30.9934920634921
"1552588_a_at",2.625,8.21824074074074
"1552590_a_at",3.25357142857143,10.7396164021164
"1552592_at",3.55714285714286,13.7010582010582
"1552594_at",9.72142857142857,50.4002645502646
